DistrictName,MedianIncome
JOHNSTOWN CITY SCHOOL DISTRICT,53323.0
JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,70367.375
KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT,161824.5
KEENE CENTRAL SCHOOL DISTRICT,73752.5
KENDALL CENTRAL SCHOOL DISTRICT,60086.666666666664
KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,54324.25
KINDERHOOK CENTRAL SCHOOL DISTRICT (ICHABOD CRANE),78959.9
KINGS PARK CENTRAL SCHOOL DISTRICT,123713.0
KINGSTON CITY SCHOOL DISTRICT,75186.28571428571
KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,75547.0
LA FARGEVILLE CENTRAL SCHOOL DISTRICT,56007.71428571428
LACKAWANNA CITY SCHOOL DISTRICT,48455.0
LAFAYETTE CENTRAL SCHOOL DISTRICT,68715.4
LAKE GEORGE CENTRAL SCHOOL DISTRICT,81180.8
LAKE PLACID CENTRAL SCHOOL DISTRICT,61918.0
LAKE PLEASANT CENTRAL SCHOOL DISTRICT,75714.5
LAKELAND CENTRAL SCHOOL DISTRICT,119432.4
LANCASTER CENTRAL SCHOOL DISTRICT,68643.5
LANSING CENTRAL SCHOOL DISTRICT,69399.6
LANSINGBURGH CENTRAL SCHOOL DISTRICT,57325.0
LAURENS CENTRAL SCHOOL DISTRICT,56726.6
LAWRENCE UNION FREE SCHOOL DISTRICT,109532.42857142857
LE ROY CENTRAL SCHOOL DISTRICT,67910.25
LETCHWORTH CENTRAL SCHOOL DISTRICT,54844.2
LEVITTOWN UNION FREE SCHOOL DISTRICT,136470.66666666666
LEWISTON-PORTER CENTRAL SCHOOL DISTRICT,61757.5
LIBERTY CENTRAL SCHOOL DISTRICT,57930.53846153846
LINDENHURST UNION FREE SCHOOL DISTRICT,99576.0
LISBON CENTRAL SCHOOL DISTRICT,55901.5
LITTLE FALLS CITY SCHOOL DISTRICT,54676.25
LIVERPOOL CENTRAL SCHOOL DISTRICT,70631.33333333333
LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT,63833.2
LIVONIA CENTRAL SCHOOL DISTRICT,66544.77777777778
LOCKPORT CITY SCHOOL DISTRICT,60823.0
LOCUST VALLEY CENTRAL SCHOOL DISTRICT,123948.42857142857
LONG BEACH CITY SCHOOL DISTRICT,112522.0
LONG LAKE CENTRAL SCHOOL DISTRICT,52795.5
LONGWOOD CENTRAL SCHOOL DISTRICT,98875.11111111111
LOWVILLE ACADEMY AND CENTRAL SCHOOL DISTRICT,57344.0
LYME CENTRAL SCHOOL DISTRICT,62542.2
LYNBROOK UNION FREE SCHOOL DISTRICT,115458.25
LYNCOURT UNION FREE SCHOOL DISTRICT,44606.5
LYNDONVILLE CENTRAL SCHOOL DISTRICT,54853.2
LYONS CENTRAL SCHOOL DISTRICT,53364.0
MADISON CENTRAL SCHOOL DISTRICT,61093.666666666664
MADRID-WADDINGTON CENTRAL SCHOOL DISTRICT,60148.88888888889
MAHOPAC CENTRAL SCHOOL DISTRICT,110562.0
MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,55963.166666666664
MALONE CENTRAL SCHOOL DISTRICT,58174.625
MALVERNE UNION FREE SCHOOL DISTRICT,124833.75
MAMARONECK UNION FREE SCHOOL DISTRICT,144161.5
MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT,63765.333333333336
MANHASSET UNION FREE SCHOOL DISTRICT,146793.25
MARATHON CENTRAL SCHOOL DISTRICT,59716.666666666664
MARCELLUS CENTRAL SCHOOL DISTRICT,76931.42857142857
MARGARETVILLE CENTRAL SCHOOL DISTRICT,58460.818181818184
MARION CENTRAL SCHOOL DISTRICT,68890.66666666667
MARLBORO CENTRAL SCHOOL DISTRICT,77276.4
MASSAPEQUA UNION FREE SCHOOL DISTRICT,133976.5
MASSENA CENTRAL SCHOOL DISTRICT,51442.0
MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,97980.4
MAYFIELD CENTRAL SCHOOL DISTRICT,58933.333333333336
MCGRAW CENTRAL SCHOOL DISTRICT,59645.75
MECHANICVILLE CITY SCHOOL DISTRICT,75677.8
MEDINA CENTRAL SCHOOL DISTRICT,57023.6
MENANDS UNION FREE SCHOOL DISTRICT,87980.5
MERRICK UNION FREE SCHOOL DISTRICT,127506.0
MEXICO CENTRAL SCHOOL DISTRICT,62851.0
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,109711.88888888889
MIDDLEBURGH CENTRAL SCHOOL DISTRICT,64995.583333333336
MIDDLETOWN CITY SCHOOL DISTRICT,86565.0
MILFORD CENTRAL SCHOOL DISTRICT,63726.28571428572
MILLBROOK CENTRAL SCHOOL DISTRICT,83433.0
MILLER PLACE UNION FREE SCHOOL DISTRICT,119062.33333333333
MINEOLA UNION FREE SCHOOL DISTRICT,131102.6
MINERVA CENTRAL SCHOOL DISTRICT,54737.5
MINISINK VALLEY CENTRAL SCHOOL DISTRICT,82132.6
MONROE-WOODBURY CENTRAL SCHOOL DISTRICT,106537.33333333333
MONTAUK UNION FREE SCHOOL DISTRICT,102266.0
MONTICELLO CENTRAL SCHOOL DISTRICT,67153.53333333334
MORAVIA CENTRAL SCHOOL DISTRICT,65803.16666666667
MORIAH CENTRAL SCHOOL DISTRICT,44562.42857142857
MORRIS CENTRAL SCHOOL DISTRICT,62279.2
MORRISTOWN CENTRAL SCHOOL DISTRICT,52118.4
MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,63390.0
MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,60102.27272727273
MOUNT MORRIS CENTRAL SCHOOL DISTRICT,53584.0
MOUNT PLEASANT CENTRAL SCHOOL DISTRICT,142941.5
MOUNT SINAI UNION FREE SCHOOL DISTRICT,108147.5
MOUNT VERNON SCHOOL DISTRICT,94910.0
NANUET UNION FREE SCHOOL DISTRICT,107895.25
NAPLES CENTRAL SCHOOL DISTRICT,58002.857142857145
NEW HARTFORD CENTRAL SCHOOL DISTRICT,62441.125
NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DISTRICT,128858.0
NEW LEBANON CENTRAL SCHOOL DISTRICT,87238.22222222222
NEW PALTZ CENTRAL SCHOOL DISTRICT,69680.625
NEW ROCHELLE CITY SCHOOL DISTRICT,147819.14285714287
NEW SUFFOLK COMMON SCHOOL DISTRICT,108972.0
NEW YORK MILLS UNION FREE SCHOOL DISTRICT,57817.2
NEWARK CENTRAL SCHOOL DISTRICT,55895.25
NEWARK VALLEY CENTRAL SCHOOL DISTRICT,61204.42857142857
NEWBURGH CITY SCHOOL DISTRICT,77814.0
NEWCOMB CENTRAL SCHOOL DISTRICT,44688.0
NEWFANE CENTRAL SCHOOL DISTRICT,60037.5
NEWFIELD CENTRAL SCHOOL DISTRICT,59421.666666666664
NIAGARA FALLS CITY SCHOOL DISTRICT,40596.25
NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT,62356.5
NISKAYUNA CENTRAL SCHOOL DISTRICT,85111.42857142857
NORTH BABYLON UNION FREE SCHOOL DISTRICT,109923.6
