,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
275,HERRICKS UFSD,97,0,25834.33,4007,2067,1940,989,75.3
276,HEUVELTON CSD,75,8,21354.54,504,260,244,484,4.0
277,HEWLETT-WOODMERE UFSD,95,1,32708.80,2854,1511,1343,1780,37.6
278,HICKSVILLE UFSD,92,4,21799.60,5272,2747,2525,1360,74.2
279,HIGHLAND CSD,93,4,22380.21,1666,840,826,1162,30.3
280,HIGHLAND FALLS CSD,87,8,23505.03,962,474,488,559,41.9
281,HILTON CSD,94,1,15641.88,4295,2219,2076,3779,12.0
282,HINSDALE CSD,77,20,20616.41,387,175,212,354,8.5
283,HOLLAND CSD,95,2,18196.59,829,432,397,790,4.7
284,HOLLAND PATENT CSD,88,5,18430.98,1298,679,619,1284,1.1
285,HOLLEY CSD,94,2,19510.21,902,444,458,756,16.2
286,HOMER CSD,88,6,18818.88,1831,951,880,1708,6.7
287,HONEOYE CSD,94,0,23910.02,569,311,258,550,3.3
288,HONEOYE FALLS-LIMA CSD,94,2,17749.56,2122,1136,986,1950,8.1
289,HOOSIC VALLEY CSD,92,3,18681.68,931,486,445,892,4.2
290,HOOSICK FALLS CSD,90,3,18103.91,1064,548,516,978,8.1
292,HORNELL CITY SCHOOL DISTRICT,86,4,18297.48,1528,754,774,1302,14.8
293,HORSEHEADS CSD,92,3,16537.38,3842,1956,1886,3336,13.2
294,HUDSON CITY SCHOOL DISTRICT,80,7,24261.33,1617,810,807,647,60.0
295,HUDSON FALLS CSD,79,13,14076.68,2259,1137,1122,2029,10.2
296,HUNTER-TANNERSVILLE CSD,85,4,30553.49,331,150,181,268,19.0
297,HUNTINGTON UFSD,90,2,23794.52,4459,2307,2152,1549,65.3
298,HYDE PARK CSD,88,6,23435.59,3396,1735,1661,2017,40.6
300,INDIAN LAKE CSD,89,0,43135.85,100,45,55,93,7.0
301,INDIAN RIVER CSD,87,7,19354.30,3543,1772,1771,2329,34.3
302,IROQUOIS CSD,98,1,20509.11,2127,1078,1049,2013,5.4
303,IRVINGTON UFSD,92,0,29339.93,1776,936,840,1213,31.7
304,ISLAND PARK UFSD,—,—,32114.61,683,341,342,355,48.0
305,ISLAND TREES UFSD,95,2,24009.41,2238,1139,1099,1410,37.0
306,ISLIP UFSD,97,3,26255.56,2726,1347,1379,1553,43.0
307,ITHACA CITY SCHOOL DISTRICT,87,3,20297.74,5052,2578,2474,3243,35.8
308,JAMESTOWN CITY SCHOOL DISTRICT,74,14,15641.50,4479,2304,2175,2762,38.3
309,JAMESVILLE-DEWITT CSD,94,2,18413.64,2693,1404,1289,1977,26.6
310,JASPER-TROUPSBURG CSD,90,5,26007.34,401,216,185,392,2.2
311,JEFFERSON CSD,92,4,26743.10,196,100,96,187,4.6
312,JERICHO UFSD,96,0,33337.94,3159,1692,1467,933,70.5
313,JOHNSBURG CSD,89,11,27133.01,301,157,144,290,3.7
314,JOHNSON CITY CSD,90,5,18386.55,2347,1187,1160,1314,44.0
315,JOHNSTOWN CITY SCHOOL DISTRICT,88,3,15993.37,1501,800,701,1378,8.2
316,JORDAN-ELBRIDGE CSD,94,5,18668.50,1112,585,527,1052,5.4
317,KATONAH-LEWISBORO UFSD,94,1,32363.39,2915,1501,1414,2307,20.9
318,KEENE CSD,92,8,34485.18,157,75,82,144,8.3
319,KENDALL CSD,98,0,18527.39,684,356,328,615,10.1
320,KENMORE-TONAWANDA UFSD,88,5,19948.14,6648,3363,3285,4895,26.4
321,KINDERHOOK CSD,96,0,20073.39,1683,858,825,1422,15.5
322,KINGS PARK CSD,97,0,25791.61,2886,1440,1446,2425,16.0
323,KINGSTON CITY SCHOOL DISTRICT,87,8,22986.93,6308,3166,3142,3244,48.6
324,KIRYAS JOEL VILLAGE UFSD,0,43,107717.20,167,91,76,167,0.0
325,LA FARGEVILLE CSD,95,5,17047.91,495,246,249,462,6.7
326,LACKAWANNA CITY SCHOOL DISTRICT,82,14,17378.83,1790,937,853,1151,35.7
327,LAFAYETTE CSD,94,0,25122.89,792,401,391,473,40.3
328,LAKE GEORGE CSD,96,2,28540.50,722,360,362,663,8.2
329,LAKE PLACID CSD,88,2,26784.06,569,271,298,533,6.3
330,LAKE PLEASANT CSD,—,—,47512.33,65,33,32,64,1.5
331,LAKELAND CSD,92,1,24687.80,5510,2787,2723,3479,36.9
332,LANCASTER CSD,95,0,14140.10,5631,2874,2757,5146,8.6
333,LANSING CSD,90,1,21726.47,1187,602,585,952,19.8
334,LANSINGBURGH CSD,85,9,18039.45,2110,1134,976,1185,43.8
335,LAURENS CSD,84,8,23669.72,301,141,160,266,11.6
336,LAWRENCE UFSD,78,11,27720.33,2446,1289,1157,308,87.4
337,LE ROY CSD,90,5,16863.60,1176,583,593,1079,8.2
338,LETCHWORTH CSD,94,0,17015.69,893,464,429,857,4.0
339,LEVITTOWN UFSD,94,1,26952.80,7102,3635,3467,4514,36.4
340,LEWISTON-PORTER CSD,92,4,18690.08,1920,1004,916,1743,9.2
341,LIBERTY CSD,77,14,23182.34,1694,876,818,706,58.3
342,LINDENHURST UFSD,91,4,23636.09,5674,2882,2792,3696,34.9
343,LISBON CSD,92,0,20676.12,559,282,277,545,2.5
344,LITTLE FALLS CITY SCHOOL DISTRICT,79,17,19877.83,1073,546,527,966,10.0
345,LITTLE FLOWER UFSD,—,—,N/A,97,64,33,48,50.5
346,LIVERPOOL CSD,84,5,18169.54,6927,3478,3449,4941,28.7
347,LIVINGSTON MANOR CSD,74,10,30012.19,410,191,219,326,20.5
348,LIVONIA CSD,98,1,19693.89,1449,767,682,1363,5.9
349,LOCKPORT CITY SCHOOL DISTRICT,89,2,18128.21,4328,2206,2122,3050,29.5
350,LOCUST VALLEY CSD,97,0,37089.06,2012,1028,984,1473,26.8
