,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
200,200,203,FORT EDWARD UFSD,74,21,22672.08,444,224,220,8.8,63169.0
201,201,204,FORT PLAIN CSD,86,2,20887.78,769,401,368,12.9,50001.0
202,202,205,FRANKFORT-SCHUYLER CSD,90,1,17334.49,893,457,436,6.8,56040.0
203,203,206,FRANKLIN CSD,100,0,24410.51,244,114,130,9.8,50803.9
204,204,207,FRANKLIN SQUARE UFSD,—,—,16757.04,1832,953,879,41.8,128777.5
205,205,208,FRANKLINVILLE CSD,83,6,25123.2,594,293,301,7.9,53930.1
206,206,209,FREDONIA CSD,96,2,17255.21,1418,730,688,20.7,51986.5
207,207,210,FREEPORT UFSD,86,2,21484.73,6765,3582,3183,94.5,118306.2
208,208,211,FREWSBURG CSD,94,2,17462.27,777,378,399,6.0,49021.5
209,209,212,FRIENDSHIP CSD,78,9,29150.45,304,153,151,9.2,47778.0
210,210,213,FRONTIER CSD,91,3,14894.51,4612,2356,2256,11.8,74888.2
211,211,214,FULTON CITY SCHOOL DISTRICT,84,10,19719.91,3200,1659,1541,10.3,60755.8
212,212,215,GALWAY CSD,87,6,18867.04,800,392,408,1.1,76572.4
213,213,216,GANANDA CSD,90,5,18478.74,893,440,453,15.2,81453.0
214,214,217,GARDEN CITY UFSD,98,0,23500.03,3939,1964,1975,16.0,135299.7
215,215,218,GARRISON UFSD,—,—,36524.49,207,109,98,27.5,122279.5
216,216,219,GATES CHILI CSD,86,4,19847.69,3698,1833,1865,43.8,
217,217,220,GENERAL BROWN CSD,93,4,13567.3,1388,711,677,6.0,62807.6
218,218,221,GENESEE VALLEY CSD,90,8,23997.0,478,243,235,5.0,53666.6
219,219,222,GENESEO CSD,93,3,18482.09,855,444,411,17.5,59282.2
220,220,223,GENEVA CITY SCHOOL DISTRICT,88,9,20180.79,1996,988,1008,57.1,58524.2
221,221,224,GEORGE JUNIOR REPUBLIC UFSD,41,53,,190,163,27,26.8,
222,222,225,GERMANTOWN CSD,93,7,5403.88,485,263,222,14.0,70628.0
223,223,226,GILBERTSVILLE-MOUNT UPTON CSD,92,3,23117.52,338,164,174,3.8,54588.6
224,224,227,GILBOA-CONESVILLE CSD,100,0,26541.08,294,167,127,4.8,56186.1
225,225,228,GLEN COVE CITY SCHOOL DISTRICT,87,4,22819.95,3163,1613,1550,75.5,114053.5
226,226,229,GLENS FALLS CITY SCHOOL DISTRICT,84,8,17131.9,2022,1042,980,14.4,66618.0
227,227,230,GLENS FALLS COMMON SCHOOL DISTRICT,—,—,23169.56,157,72,85,19.7,66618.0
228,228,231,GLOVERSVILLE CITY SCHOOL DISTRICT,68,17,18618.2,2554,1310,1244,20.0,53646.4
229,229,232,GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,87,4,19833.28,1119,582,537,3.2,
230,230,233,GOSHEN CSD,96,0,22102.68,2885,1458,1427,22.4,95000.0
231,231,234,GOUVERNEUR CSD,84,9,18367.44,1461,739,722,3.9,52115.0
232,232,235,GOWANDA CSD,82,14,24073.62,1063,511,552,35.7,53409.3
233,233,236,GRAND ISLAND CSD,95,2,17396.91,2869,1462,1407,15.2,90386.0
234,234,237,GRANVILLE CSD,79,11,18308.97,1020,545,475,5.3,56732.8
235,235,238,GREAT NECK UFSD,93,2,28782.39,6586,3466,3120,56.0,140796.2
236,236,239,GREECE CSD,93,0,16901.72,10504,5322,5182,42.1,56750.0
237,237,240,GREEN ISLAND UFSD,86,11,23487.08,263,117,146,19.0,49862.0
238,238,241,GREENBURGH CSD,93,0,34414.7,1581,803,778,87.9,124601.7
239,239,242,GREENBURGH ELEVEN UFSD,22,33,,71,71,0,95.8,
240,240,243,GREENBURGH-GRAHAM UFSD,0,0,,102,60,42,88.2,
241,241,244,GREENBURGH-NORTH CASTLE UFSD,—,—,,395,259,136,76.2,
242,242,245,GREENE CSD,89,6,20546.04,924,479,445,5.3,51063.7
243,243,246,GREENPORT UFSD,75,20,24403.49,660,351,309,72.7,79762.3
244,244,247,GREENVILLE CSD,87,3,23538.21,1126,573,553,4.4,75317.5
245,245,248,GREENWICH CSD,91,1,18651.65,945,496,449,5.1,77175.9
246,246,249,GREENWOOD LAKE UFSD,—,—,33865.79,474,236,238,35.2,92963.3
247,247,250,GROTON CSD,90,3,19387.04,778,387,391,8.9,65364.8
248,248,251,GUILDERLAND CSD,94,2,17693.96,4841,2451,2390,26.5,75045.1
249,249,252,HADLEY-LUZERNE CSD,89,7,25299.07,640,350,290,4.4,62414.7
250,250,253,HALDANE CSD,93,3,25957.28,796,423,373,17.2,104061.0
251,251,254,HALF HOLLOW HILLS CSD,95,1,27791.97,7676,3950,3726,47.2,117510.1
252,252,255,HAMBURG CSD,92,3,17076.46,3321,1649,1672,7.0,79445.8
253,253,256,HAMILTON CSD,90,5,20603.59,554,303,251,8.7,56966.8
254,254,257,HAMMOND CSD,74,16,26123.36,242,124,118,1.2,58918.5
255,255,258,HAMMONDSPORT CSD,76,11,27744.76,395,196,199,7.3,51205.8
256,256,259,HAMPTON BAYS UFSD,91,6,21642.94,2006,1048,958,63.1,92699.8
257,257,260,HANCOCK CSD,97,3,29004.88,308,159,149,9.4,54114.0
258,258,261,HANNIBAL CSD,82,10,19515.27,1236,649,587,4.0,54135.2
259,259,262,HARBORFIELDS CSD,95,1,24499.74,2965,1510,1455,28.1,135911.0
260,260,263,HARPURSVILLE CSD,84,3,21205.12,641,365,276,4.7,56108.6
261,261,264,HARRISON CSD,98,1,28893.27,3653,1820,1833,35.2,137353.5
262,262,265,HARRISVILLE CSD,91,9,25442.94,340,175,165,5.6,50445.0
263,263,266,HARTFORD CSD,83,7,21509.8,410,230,180,6.3,57991.9
264,264,267,HASTINGS-ON-HUDSON UFSD,96,1,27795.13,1656,840,816,28.5,137899.0
265,265,268,HAUPPAUGE UFSD,95,0,28953.45,3272,1725,1547,27.8,111789.0
266,266,269,HAVERSTRAW-STONY POINT CSD (NORTH RO,86,6,22215.24,7886,4031,3855,77.5,
267,267,270,HAWTHORNE-CEDAR KNOLLS UFSD,30,10,,207,133,74,90.3,
