,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
270,HERKIMER,82,9,16820.51,1059,550,509,10.7,75035.0,
271,HERMON-DEKALB,91,6,21992.93,391,201,190,3.8,67354.0,
272,HERRICKS,97,0,25834.33,4007,2067,1940,75.3,229172.0,No
273,HEUVELTON,75,8,21354.54,504,260,244,4.0,66262.0,
274,HEWLETT-WOODMERE,95,1,32708.8,2854,1511,1343,37.6,173425.0,No
275,HICKSVILLE,92,4,21799.6,5272,2747,2525,74.2,169038.0,No
276,HIGHLAND,93,4,22380.21,1666,840,826,30.3,83973.0,
277,HIGHLANDFALLS,87,8,23505.03,962,474,488,41.9,128404.0,
278,HILTON,94,1,15641.88,4295,2219,2076,12.0,80816.0,No
279,HINSDALE,77,20,20616.41,387,175,212,8.5,64456.0,
280,HOLLAND,95,2,18196.59,829,432,397,4.7,85182.0,
281,HOLLANDPATENT,88,5,18430.98,1298,679,619,1.1,84742.0,
282,HOLLEY,94,2,19510.21,902,444,458,16.2,72950.0,
283,HOMER,88,6,18818.88,1831,951,880,6.7,88037.0,No
284,HONEOYE,94,0,23910.02,569,311,258,3.3,83586.0,
285,HONEOYEFALLS-LIMA,94,2,17749.56,2122,1136,986,8.1,104254.0,
286,HOOSICVALLEY,92,3,18681.68,931,486,445,4.2,93274.0,
287,HOOSICKFALLS,90,3,18103.91,1064,548,516,8.1,80837.0,
288,HORNELL,86,4,18297.48,1528,754,774,14.8,57558.0,No
289,HORSEHEADS,92,3,16537.38,3842,1956,1886,13.2,77387.0,Yes
290,HUDSON,80,7,24261.33,1617,810,807,60.0,85834.0,No
291,HUDSONFALLS,79,13,14076.68,2259,1137,1122,10.2,79194.0,
292,HUNTER-TANNERSVILLE,85,4,30553.49,331,150,181,19.0,83429.0,
293,HUNTINGTON,90,2,23794.52,4459,2307,2152,65.3,213930.0,No
294,HYDEPARK,88,6,23435.59,3396,1735,1661,40.6,111573.0,
295,INDIANLAKE,89,0,43135.85,100,45,55,7.0,88695.0,
296,INDIANRIVER,87,7,19354.3,3543,1772,1771,34.3,67410.0,
297,IROQUOIS,98,1,20509.11,2127,1078,1049,5.4,92005.0,No
298,IRVINGTON,92,0,29339.93,1776,936,840,31.7,187499.0,No
299,ISLANDPARK,—,—,32114.61,683,341,342,48.0,128286.0,
300,ISLANDTREES,95,2,24009.41,2238,1139,1099,37.0,146310.0,
301,ISLIP,97,3,26255.56,2726,1347,1379,43.0,115243.0,No
302,ITHACA,87,3,20297.74,5052,2578,2474,35.8,81662.0,No
303,JAMESTOWN,74,14,15641.5,4479,2304,2175,38.3,54389.0,No
304,JAMESVILLE-DEWITT,94,2,18413.64,2693,1404,1289,26.6,102049.0,No
305,JASPER-TROUPSBURG,90,5,26007.34,401,216,185,2.2,65222.0,
306,JEFFERSON,92,4,26743.1,196,100,96,4.6,67211.0,
307,JERICHO,96,0,33337.94,3159,1692,1467,70.5,225863.0,No
308,JOHNSBURG,89,11,27133.01,301,157,144,3.7,63759.0,
309,JOHNSONCITY,90,5,18386.55,2347,1187,1160,44.0,68096.0,
310,JOHNSTOWN,88,3,15993.37,1501,800,701,8.2,66868.0,No
311,JORDAN-ELBRIDGE,94,5,18668.5,1112,585,527,5.4,87889.0,
312,KATONAH-LEWISBORO,94,1,32363.39,2915,1501,1414,20.9,237108.0,No
313,KEENE,92,8,34485.18,157,75,82,8.3,80967.0,
314,KENDALL,98,0,18527.39,684,356,328,10.1,76720.0,
315,KENMORE-TONAWANDA,88,5,19948.14,6648,3363,3285,26.4,68800.0,No
316,KINDERHOOK,96,0,20073.39,1683,858,825,15.5,,Yes
317,KINGSPARK,97,0,25791.61,2886,1440,1446,16.0,157985.0,
318,KINGSTON,87,8,22986.93,6308,3166,3142,48.6,84361.0,Yes
319,KIRYASJOELVILLAGE,0,43,107717.2,167,91,76,0.0,95494.0,
320,LAFARGEVILLE,95,5,17047.91,495,246,249,6.7,101231.0,
321,LACKAWANNA,82,14,17378.83,1790,937,853,35.7,60145.0,Yes
322,LAFAYETTE,94,0,25122.89,792,401,391,40.3,88349.0,
323,LAKEGEORGE,96,2,28540.5,722,360,362,8.2,108449.0,
324,LAKEPLACID,88,2,26784.06,569,271,298,6.3,86204.0,
325,LAKEPLEASANT,—,—,47512.33,65,33,32,1.5,84704.0,
326,LAKELAND,92,1,24687.8,5510,2787,2723,36.9,140431.0,Yes
