DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students
LYONS CSD,74.0,14.0,25724.35,833,434,399,25.5
MADISON CSD,94.0,3.0,18344.65,454,212,242,1.8
MADRID-WADDINGTON CSD,93.0,2.0,19452.88,655,331,324,3.5
MAHOPAC CSD,94.0,2.0,26934.25,3972,2029,1943,28.5
MAINE-ENDWELL CSD,89.0,7.0,15937.75,2459,1226,1233,12.4
MALONE CSD,87.0,4.0,20754.3,2199,1191,1008,3.4
MALVERNE UFSD,92.0,3.0,28071.16,1724,910,814,82.0
MAMARONECK UFSD,94.0,2.0,22853.8,5596,2917,2679,32.2
MANCHESTER-SHORTSVILLE CSD (RED JACK,82.0,4.0,18766.55,763,404,359,11.8
MANHASSET UFSD,98.0,0.0,25655.38,3163,1680,1483,35.9
MARATHON CSD,98.0,0.0,21017.92,653,327,326,3.4
